time;logger;level;message;exception
2012-03-29 08:40:06.4959;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for ComplexCategoryIndex;
2012-03-29 08:40:06.4959;Raven.Database.Indexing.IndexStorage.Startup;Debug;Loading saved index ProductPriceIndex;
2012-03-29 08:40:06.4959;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for ProductPriceIndex;
2012-03-29 08:40:06.4959;Raven.Database.Indexing.IndexStorage.Startup;Debug;Loading saved index ProductTotalPricePerCategoryIndex;
2012-03-29 08:40:06.4959;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for ProductTotalPricePerCategoryIndex;
2012-03-29 08:40:06.4959;Raven.Database.Indexing.IndexStorage.Startup;Debug;Loading saved index Raven/DocumentsByEntityName;
2012-03-29 08:40:06.4959;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2012-03-29 08:40:06.6279;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found;
2012-03-29 08:40:06.8200;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work;
2012-03-29 08:40:06.8400;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work;
2012-03-29 08:40:26.2379;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-03-29 08:40:26.2469;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -    69 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-03-29 08:40:26.3119;Raven.Database.Server.HttpServer;Debug;Request #   2: HEAD    -     2 ms - <default>  - 200 - /indexes/ProductTotalPricePerCategoryIndex;
2012-03-29 08:40:27.5010;Raven.Database.Server.HttpServer;Debug;Request #   3: PUT     -   174 ms - <default>  - 201 - /indexes/ProductTotalPricePerCategoryIndex;
2012-03-29 08:40:27.5720;Raven.Database.Server.HttpServer;Debug;Request #   4: HEAD    -     0 ms - <default>  - 200 - /indexes/ProductPriceIndex;
2012-03-29 08:40:27.5720;Raven.Database.Server.HttpServer;Debug;Request #   5: PUT     -     4 ms - <default>  - 201 - /indexes/ProductPriceIndex;
2012-03-29 08:40:27.5720;Raven.Database.Server.HttpServer;Debug;Request #   6: HEAD    -     0 ms - <default>  - 200 - /indexes/CategoryIndex;
2012-03-29 08:40:27.5890;Raven.Database.Server.HttpServer;Debug;Request #   7: PUT     -     0 ms - <default>  - 201 - /indexes/CategoryIndex;
2012-03-29 08:40:34.6397;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Hilo/categories' was found;
2012-03-29 08:40:34.6838;Raven.Database.Server.HttpServer;Debug;Request #   8: GET     -    64 ms - <default>  - 200 - /docs/Raven/Hilo/categories;
2012-03-29 08:40:34.8348;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'Raven/Hilo/categories', update: True, ;
2012-03-29 08:40:34.8348;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 because: PUT Raven/Hilo/categories;
2012-03-29 08:40:34.8348;Raven.Database.DocumentDatabase;Debug;Put document Raven/Hilo/categories with etag 00000000-0000-0500-0000-000000000001;
2012-03-29 08:40:34.8428;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work;
2012-03-29 08:40:34.8428;Raven.Database.Server.HttpServer;Debug;Request #   9: PUT     -    82 ms - <default>  - 201 - /docs/Raven/Hilo/categories;
2012-03-29 08:40:34.8958;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0400-0000-000000018afe;
2012-03-29 08:40:34.9428;Raven.Database.Impl.DocumentRetriever;Debug;Triggered Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/categories;
2012-03-29 08:40:34.9428;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 0 documents remained;
